1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84
Orden;Mes;A§o;DIR;DPTO;DIV;SECT;INSPECTOR;SUPERVISOR;REVISOR DIV;JEFE DIV;REVISOR DEPTO;REVISOR DIREC;RAZON SOCIAL;CARGO;A•O CARGO;EXPTE;A•O EXPTE;CUIT;CATEG CONTR;NRO INSCRIP;JURISD CM;FECHA INICIO;FECHA RECEPCION;PLAN;PERIODO A VERIFICAR;DV;TR;DOMICILIO INSPECCION (CALLE Y NUMERO);DOMICILIO INSPECCION (PROVINCIA);ACTIVIDAD PRINCIPAL DETECTADA - LEY TARIFARIA;ALICUOTA - LEY TARIFARIA;AGRUPADOR DE ACTIVIDAD;ORIGEN DEL CARGO;ESTADO DE LA ACTUACION;CONCEPTO DEL AJUSTE/MOTIVO DE DESCARGO;FECHA DESCARGO;DESTINO;Cargo nuevo del mes actual;Ingresa como DV/TR del mes actual;Queda stock mes actual;Descargo del mes actual;NOTAS;FECHA ULTIMA ACTA;MAIL (cargos iniciados);Dif. canceladas en un pago - Impuesto;Dif. canceladas en un pago - Accesorios;Pago en Curso Rectif. - Impuesto;Pago en Curso Rectif. - Accesorios;Plan de facilidades - Impuesto;Plan de facilidades  - Accesorios;Plan de facilidades - cantidad;Multa reducida - Impuesto;Multa reducida - Accesorios;Multa reducida - cantidad;BD - Dif. de al≠cuota - Impuesto;BD - Dif. de al≠cuota - Accesorios;BD - Desc. improc. - Impuesto;BD - Desc. improc. - Accesorios;BD - Dif. acept. no abonada - Impuesto;BD - Dif. acept. no abonada - Accesorios;BD - Deuda concursal falencial - Impuesto;BD - Deuda concursal falencial - Accesorios;ISIB Dif. no conformadas - Impuesto;ISIB Dif. no conformadas - Accesorios;Sellos Pago en curso - Impuesto;Sellos pago en curso - Accesorios;Sellos BD - Impuesto;Sellos BD - Accesorios;Sellos Plan de facilid. - Impuesto;Sellos Plan de facilid. - Accesorios;Sellos Plan de facilid. - cantidad;Sellos Dif. no conformadas - Impuesto;Sellos Dif. no conformadas - Accesorios;Empadron. Pago en curso - Impuesto;Empadron. Pago en curso - Accesorios;Empadronados BD - Impuesto;Empadronados BD - Accesorios;Total Dif. conformadas - Impuesto;Total Dif. conformadas - Accesorios;Total Dif. NO conformadas - Impuesto;Total Dif. NO conformadas - Accesorios;Recaudaci¢n Total;Recaudaci¢n Nominal
1;11;2025;1;A;1;A;Vincenzo ;Supervisor1;RevisorDiv1;Jefa1;RevisorDepto1;RevisorDIREC1;Contribuyente1;33280;2024;6660822;2024;30716472945;CM;999-302000-1;921 - Santa Fe;19/01/2023;12/01/2023;INTEGRAL;2021/2022;;;Domicilio1;CABA;661121 - Servicios de mercados a tÇrmino;5,50%;SERVICIOS FINANCIEROS Y DE INTERMEDIACION;CONTRIBUYENTE NO INSCRIPTO;DESCARGADA;DIFERENCIA DE BASE IMPONIBLE Y ALICUOTA;03/01/2025;DTT; ;;;;;;apoderado@contribuyente.com.ar;;;8.931.229,00;5.305.685,00;;;;;;;;;;;;;;;81.819.618,00;142.657.637,00;;;;;;;;;;;;;;8.931.229,00;5.305.685,00;81.819.618,00;142.657.637,00;;
2;11;2025;1;A;1;A;Vincenzo ;Supervisor1;RevisorDiv1;Jefa1;RevisorDepto1;RevisorDIREC1;Contribuyente2;35912;2024;45507783;2024;30716472946;RG;999-302000-2;901 - CABA;16/02/2024;07/02/2024;INTEGRAL;2022/2023;;;Domicilio2;CABA;649999 - Servicios de financiaci¢n y actividades financieras n.c.p.;5,50%;SERVICIOS FINANCIEROS Y DE INTERMEDIACION;VERIFICAR ALICUOTA Y BASE IMPONIBLE;DESCARGADA;DIFERENCIA DE BASE IMPONIBLE Y ALICUOTA;21/04/2025;DEPTO. SUMARIOS POR INFRACCIONES FISCALES; ;;;;;;apoderado@contribuyente.com.ar;;;;;;;;;;;;;;;16.895.392,00;23.019.651,00;;;;;;;;;;;;;;;;;;16.895.392,00;23.019.651,00;;;;
3;11;2025;1;A;1;A;Vincenzo ;Supervisor1;RevisorDiv1;Jefa1;RevisorDepto1;RevisorDIREC1;Contribuyente3;36665;2024;17882023;2024;30716472947;RG;999-302000-3;902 - CABA;14/06/2024;12/06/2024;INTEGRAL;2022/2023;;;Domicilio3;CABA;649999 - Servicios de financiaci¢n y actividades financieras n.c.p.;5,50%;SERVICIOS FINANCIEROS Y DE INTERMEDIACION;VERIFICAR ALICUOTA Y BASE IMPONIBLE;DESCARGADA;DIFERENCIA DE BASE IMPONIBLE Y ALICUOTA;11/11/2025;DEPTO. SUMARIOS POR INFRACCIONES FISCALES;;;;;;29/10/2025;apoderado@contribuyente.com.ar;;;;;203.401,00;433.579,00;636.980,00;;;;;;;;;;;;;;;;;;;;;;;;;;;203.401,00;433.579,00;;;;
4;11;2025;1;A;1;A;Vincenzo ;Supervisor1;RevisorDiv1;Jefa1;RevisorDepto1;RevisorDIREC1;Contribuyente4;37028;2024;27647968;2024;30716472948;RG;999-302000-4;903 - CABA;02/08/2024;01/08/2024;INTEGRAL;2021;;;Domicilio4;CABA;649999 - Servicios de financiaci¢n y actividades financieras n.c.p.;5,50%;SERVICIOS FINANCIEROS Y DE INTERMEDIACION;VERIFICAR ALICUOTA Y BASE IMPONIBLE;DESCARGADA;DIFERENCIA DE ALICUOTA;21/04/2025;DEPTO. SUMARIOS POR INFRACCIONES FISCALES; ;;;;;;apoderado@contribuyente.com.ar;;;;;;;;;;;;;;;968.886,00;3.149.007,00;;;;;;;;;;;;;;;;;;968.886,00;3.149.007,00;;;;
5;11;2025;1;A;1;A;Carlos;Supervisor2;RevisorDiv2;Jefa2;RevisorDepto2;RevisorDIREC2;Contribuyente5;38786;2025;11863763;2025;30716472949;CM;999-302000-5;906 - Chaco;25/03/2025;20/03/2025;BCO EXPRESS;2023;;;Domicilio5;CABA;641930 - Servicios de la banca minorista;8,00%;SERVICIOS FINANCIEROS Y DE INTERMEDIACION;VERIFICAR COEFICIENTE Y BI;OTORGADO TERCERA PR?RROGA; ;;;;;Si;;ANALISIS DOCUMENTACION Y ELABORACION PPTT;03/11/2025;apoderado@contribuyente.com.ar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;11;2025;1;A;1;A;Carlos;Supervisor2;RevisorDiv2;Jefa2;RevisorDepto2;RevisorDIREC2;Contribuyente6;38774;2025;11894906;2025;30716472950;CM;999-302000-6;901 - Ciudad de Buenos Aires;25/03/2025;20/03/2025;BCO EXPRESS;2023;;;Domicilio6;CABA;641910 - Servicios de la banca mayorista;8% 1,5%;SERVICIOS FINANCIEROS Y DE INTERMEDIACION;VERIFICAR COEFICIENTE Y BI;SOLICITADO INFORME TêCNICO; ;;;;;Si;;ANALISIS DOCUMENTACION Y ELABORACION PPTT;07/11/2025;apoderado@contribuyente.com.ar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;11;2025;1;A;1;A;Carlos;Supervisor2;RevisorDiv2;Jefa2;RevisorDepto2;RevisorDIREC2;Contribuyente7;38779;2025;11911104;2025;30716472951;CM;999-302000-7;901 - Ciudad de Buenos Aires;25/03/2025;20/03/2025;BCO EXPRESS;2023;;;Domicilio7;CABA;641930 - Servicios de la banca minorista;8,00%;SERVICIOS FINANCIEROS Y DE INTERMEDIACION;VERIFICAR COEFICIENTE Y BI;ENVIADO A LA DIVISI?N PARA REVISI?N; ;;;;;Si;;ANALISIS DOCUMENTACION Y ELABORACION PPTT;12/11/2025;apoderado@contribuyente.com.ar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;11;2025;1;A;1;A;Carlos;Supervisor2;RevisorDiv2;Jefa2;RevisorDepto2;RevisorDIREC2;Contribuyente8;38780;2025;11912929;2025;30716472952;CM;999-302000-8;921 - Santa Fe;25/03/2025;20/03/2025;BCO EXPRESS;2023;;;Domicilio8;CABA;641930 - Servicios de la banca minorista;8,00%;SERVICIOS FINANCIEROS Y DE INTERMEDIACION;VERIFICAR COEFICIENTE Y BI;ANALISIS DE DOCUMENTACI?N; ;;;;;Si;;ANALISIS DOCUMENTACION Y ELABORACION PPTT;11/11/2025;apoderado@contribuyente.com.ar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;11;2025;1;A;1;A;Juan;Supervisor3;RevisorDiv3;Jefa3;RevisorDepto3;RevisorDIREC3;Contribuyente9;33280;2025;6660822;2025;30716472953;CM;999-302000-9;921 - Santa Fe;19/01/2023;12/01/2023;INTEGRAL;2021/2022;;;Domicilio9;CABA;661121 - Servicios de mercados a tÇrmino;5,50%;SERVICIOS FINANCIEROS Y DE INTERMEDIACION;CONTRIBUYENTE NO INSCRIPTO;DESCARGADA;DIFERENCIA DE BASE IMPONIBLE Y ALICUOTA;03/01/2025;DTT; ;;;;;;apoderado@contribuyente.com.ar;;;8.931.229,00;5.305.685,00;;;;;;;;;;;;;;;81.819.618,00;142.657.637,00;;;;;;;;;;;;;;8.931.229,00;5.305.685,00;81.819.618,00;142.657.637,00;;
